"","player","team","position","headshot_url","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price","rush_yds_expected","rush_tds_expected","rec_yds_expected","rec_tds_expected","pass_yds_expected","pass_tds_expected","implied_fantasy_points"
"41","James Cook","BUF","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bzdvrarxum9zate4te4b",2025-08-31,NA,NA,NA,950.5,-114,-114,NA,NA,NA,NA,NA,NA,8.5,-130,-102,NA,NA,NA,1012.68224299065,9.12656048213517,NA,NA,NA,NA,156.027587191876
"42","Mike Evans","TB","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yaxorbdsvk1ucfuiyrkj",2025-08-31,NA,NA,NA,NA,NA,NA,1000.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-122,-108,NA,NA,1065.95327102804,8.03101178101178,NA,NA,154.781397788874
"43","Bucky Irving","TB","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmgpumoxwhvrrkcjuuuw",2025-08-31,NA,NA,NA,1000.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-102,-130,NA,NA,NA,1065.95327102804,7.99612569952647,NA,NA,NA,NA,154.572081299963
"44","Ladd McConkey","LAC","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsvdiebsa34jtkcrjpju",2025-08-31,NA,NA,NA,NA,NA,NA,1050.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,106,-140,NA,NA,1119.22429906542,6.89805825242718,NA,NA,153.310779421105
"45","Tee Higgins","CIN","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/flr9f8oqigbyroeaubxb",2025-08-31,NA,NA,NA,NA,NA,NA,975.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-122,-108,NA,NA,1039.31775700935,8.03101178101178,NA,NA,152.117846387005
"46","Tyreek Hill","MIA","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjhpyrm4ocx5lsdynqpg",2025-08-31,NA,NA,NA,NA,NA,NA,950.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,128,-172,NA,NA,1012.68224299065,7.93524251805986,NA,NA,148.879679407425
"47","Davante Adams","LAR","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qtonvcqpixixqhc6lhnc",2025-08-31,NA,NA,NA,NA,NA,NA,925.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-102,-136,NA,NA,986.046728971962,8.07350226548079,NA,NA,147.045686490081
"48","Terry McLaurin","WAS","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wokz1etv1wj1vhbmvxgs",2025-08-31,NA,NA,NA,NA,NA,NA,975.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-128,-104,NA,NA,1039.31775700935,6.98864809081527,NA,NA,145.863664245826
"49","Marvin Harrison","ARI","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwpoo1icpnh8emjvqaii",2025-08-31,NA,NA,NA,NA,NA,NA,975.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-122,-108,NA,NA,1039.31775700935,6.96223146223146,NA,NA,145.705164474323
"50","Brock Bowers","LV","TE","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzp2ffi0lomamxofsrhy",2025-08-31,NA,NA,NA,NA,NA,NA,1025.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,120,-160,NA,NA,1092.58878504673,5.8041958041958,NA,NA,144.084053329848
"51","Chuba Hubbard","CAR","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjgml85ghq7oa48dctn7",2025-08-31,NA,NA,NA,950.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,100,-132,NA,NA,NA,1012.68224299065,6.91379310344828,NA,NA,NA,NA,142.750982919755
"52","DJ Moore","CHI","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qphturmeiifnqrnf5pax",2025-08-31,NA,NA,NA,NA,NA,NA,950.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,104,-138,NA,NA,1012.68224299065,6.91036414565826,NA,NA,142.730409173015
"53","James Conner","ARI","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/g5yjordcmt76j0saytzb",2025-08-31,NA,NA,NA,875.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-108,-122,NA,NA,NA,932.775700934579,8.000693000693,NA,NA,NA,NA,141.281728097616
"54","DK Metcalf","PIT","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ezpzdcvzlu5ga4uv6oas",2025-08-31,NA,NA,NA,NA,NA,NA,925.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-114,-114,NA,NA,986.046728971962,6.92523364485981,NA,NA,140.156074766355
"55","Jaxon Smith-Njigba","SEA","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kz7nsoloyrbzlp9gwuzc",2025-08-31,NA,NA,NA,NA,NA,NA,975.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-130,-102,NA,NA,1039.31775700935,5.91605682307361,NA,NA,139.428116639376
"56","Courtland Sutton","DEN","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/r2sr6cbma4c7wc3isejj",2025-08-31,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-128,-104,NA,NA,959.411214953271,6.98864809081527,NA,NA,137.873010040219
"57","George Kittle","SF","TE","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ztz3xqjaqgok9m4nylgs",2025-08-31,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,118,-158,NA,NA,959.411214953271,6.88542777896309,NA,NA,137.253688169106
